"REF_DATE","GEO","DGUID","Stock market statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1956-09","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2057","","","t","0"
"1956-09","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","866","","","","0"
"1956-10","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","239.6","","","","1"
"1956-10","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","94.0","","","","1"
"1956-10","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2215","","","t","0"
"1956-10","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","835","","","","0"
"1956-11","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","255.4","","","","1"
"1956-11","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","80.4","","","","1"
"1956-11","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2397","","","t","0"
"1956-11","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","822","","","","0"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","199.1","","","","1"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","78.4","","","","1"
"1956-12","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2269","","","t","0"
"1956-12","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","880","","","","0"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","275.0","","","","1"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","136.5","","","","1"
"1957-01","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","2586","","","t","0"
"1957-01","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","866","","","","0"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","200.3","","","","1"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","108.0","","","","1"
"1957-02","Canada","2016A000011124","New York Stock Exchange, value of shares traded","Dollars","81","millions","6","v37417","1.6","1982","","","t","0"
"1957-02","Canada","2016A000011124","New York Stock Exchange, customers' free credit balance","Dollars","81","millions","6","v37420","1.9","828","","","","0"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, value of shares traded","Dollars","81","millions","6","v37412","1.1","242.3","","","","1"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, volume of shares traded","Shares","276","millions","6","v37413","1.2","128.8","","","","1"
